Survived,Pclass,Embarked,Sex,Age,SibSp,Parch,Fare
0,3,Q,male,,0,0,7.7375
1,1,S,female,43,0,1,211.3375
1,3,C,female,13,0,0,7.2292
1,1,S,female,17,1,0,57
0,1,S,male,29,0,0,30
0,3,S,male,,1,2,23.45
0,3,S,male,25,0,0,7.05
0,3,S,male,25,0,0,7.25
1,3,S,female,18,0,0,7.4958
0,3,Q,male,8,4,1,29.125
1,3,S,male,1,1,2,20.575
0,1,C,male,46,0,0,79.2
0,3,Q,male,,0,0,7.75
0,2,S,male,16,0,0,26
0,3,S,female,,8,2,69.55
0,1,C,male,,0,0,30.6958
0,3,S,male,25,0,0,7.8958
0,2,S,male,39,0,0,13
1,1,S,female,49,0,0,25.9292
1,3,S,female,31,0,0,8.6833
0,3,C,male,30,0,0,7.2292
0,3,S,female,30,1,1,24.15
0,2,S,male,34,0,0,13
1,2,S,female,31,1,1,26.25
1,1,S,male,11,1,2,120
1,3,C,male,0.42,0,1,8.5167
1,3,S,male,27,0,0,6.975
0,3,S,male,31,0,0,7.775
0,1,S,male,39,0,0,0
0,3,S,female,18,0,0,7.775
0,2,S,male,39,0,0,13
1,1,S,female,33,1,0,53.1
0,3,S,male,26,0,0,7.8875
0,3,S,male,39,0,0,24.15
0,2,S,male,35,0,0,10.5
0,3,S,female,6,4,2,31.275
0,3,S,male,30.5,0,0,8.05
0,1,S,male,,0,0,0
0,3,S,female,23,0,0,7.925
0,2,C,male,31,1,1,37.0042
0,3,S,male,43,0,0,6.45
0,3,S,male,10,3,2,27.9
1,1,S,female,52,1,1,93.5
1,3,S,male,27,0,0,8.6625
0,1,S,male,38,0,0,0
1,3,S,female,27,0,1,12.475
0,3,S,male,2,4,1,39.6875
0,3,Q,male,,0,0,6.95
0,3,S,male,,0,0,56.4958
1,2,C,male,1,0,2,37.0042
1,3,Q,male,,0,0,7.75
1,1,,female,62,0,0,80
1,3,C,female,15,1,0,14.4542
1,2,S,male,0.83,1,1,18.75
0,3,C,male,,0,0,7.2292
0,3,S,male,23,0,0,7.8542
0,3,S,male,18,0,0,8.3
1,1,C,female,39,1,1,83.1583
0,3,S,male,21,0,0,8.6625
0,3,S,male,,0,0,8.05
1,3,S,male,32,0,0,56.4958
1,1,C,male,,0,0,29.7
0,3,S,male,20,0,0,7.925
0,2,S,male,16,0,0,10.5
1,1,C,female,30,0,0,31
0,3,C,male,34.5,0,0,6.4375
0,3,S,male,17,0,0,8.6625
0,3,S,male,42,0,0,7.55
0,3,S,male,,8,2,69.55
0,3,C,male,35,0,0,7.8958
0,2,S,male,28,0,1,33
1,1,C,female,,1,0,89.1042
0,3,S,male,4,4,2,31.275
0,3,S,male,74,0,0,7.775
0,3,C,female,9,1,1,15.2458
1,1,S,female,16,0,1,39.4
0,2,S,female,44,1,0,26
1,3,S,female,18,0,1,9.35
1,1,S,female,45,1,1,164.8667
1,1,S,male,51,0,0,26.55
1,3,C,female,24,0,3,19.2583
0,3,C,male,,0,0,7.2292
0,3,S,male,41,2,0,14.1083
0,2,S,male,21,1,0,11.5
1,1,S,female,48,0,0,25.9292
0,3,S,female,,8,2,69.55
0,2,S,male,24,0,0,13
1,2,S,female,42,0,0,13
1,2,C,female,27,1,0,13.8583
0,1,S,male,31,0,0,50.4958
0,3,S,male,,0,0,9.5
1,3,S,male,4,1,1,11.1333
0,3,S,male,26,0,0,7.8958
1,1,S,female,47,1,1,52.5542
0,1,S,male,33,0,0,5
0,3,S,male,47,0,0,9
1,2,C,female,28,1,0,24
1,3,C,female,15,0,0,7.225
0,3,S,male,20,0,0,9.8458
0,3,S,male,19,0,0,7.8958
0,3,S,male,,0,0,7.8958
1,1,C,female,56,0,1,83.1583
1,2,S,female,25,0,1,26
0,3,S,male,33,0,0,7.8958
0,3,S,female,22,0,0,10.5167
0,2,S,male,28,0,0,10.5
0,3,S,male,25,0,0,7.05
0,3,Q,female,39,0,5,29.125
0,2,S,male,27,0,0,13
1,1,S,female,19,0,0,30
0,3,S,female,,1,2,23.45
1,1,C,male,26,0,0,30
0,3,Q,male,32,0,0,7.75
